일자,"2013년
15.5 ℃
12.9 톤
PCC -0.543
온도 (℃)","2014년
16.2 ℃
10.8 톤
PCC -0.544
온도 (℃)","2015년
18.5 ℃
18.9 톤
PCC -0.417
온도 (℃)","2016년
16.2 ℃
14.8 톤
PCC -0.559
온도 (℃)","2017년
15.4 ℃
10.5 톤
PCC -0.645
온도 (℃)","2018년
10.9 ℃
14.8 톤
PCC -0.553
온도 (℃)","2019년
15.7 ℃
17.9 톤
PCC -0.661
온도 (℃)","2020년
13.2 ℃
12.8 톤
PCC -0.678
온도 (℃)","2021년
10.9 ℃
11.9 톤
PCC -0.611
온도 (℃)","2022년
8.7 ℃
12.1 톤
PCC -0.594
온도 (℃)","2013년
15.5 ℃
12.9 톤
PCC -0.543
거래물량 (톤)","2014년
16.2 ℃
10.8 톤
PCC -0.544
거래물량 (톤)","2015년
18.5 ℃
18.9 톤
PCC -0.417
거래물량 (톤)","2016년
16.2 ℃
14.8 톤
PCC -0.559
거래물량 (톤)","2017년
15.4 ℃
10.5 톤
PCC -0.645
거래물량 (톤)","2018년
10.9 ℃
14.8 톤
PCC -0.553
거래물량 (톤)","2019년
15.7 ℃
17.9 톤
PCC -0.661
거래물량 (톤)","2020년
13.2 ℃
12.8 톤
PCC -0.678
거래물량 (톤)","2021년
10.9 ℃
11.9 톤
PCC -0.611
거래물량 (톤)","2022년
8.7 ℃
12.1 톤
PCC -0.594
거래물량 (톤)"
20220129,0.35,2.55,-0.85,1.3,2.55,-3.1,1.05,6.55,-1.35,0.9,8.962,17.1455,19.202,24.922,,13.948,22.914,19.608,10.607,25.002
20220130,3.9,4.2,-0.35,3,2.55,-5.1,0.9,5.85,-1.55,0.7,10.958,8.832,16.548,24.978,,14.934,23.484,11.542,20.603,27.725
20220131,5,4.6,0,1.3,-1.05,-4.2,1.7,4.5,2.9,-0.65,7.348,0.324,16.636,23.396,,14.49,13.058,11.308,22.296,
20220201,10.6,7.2,-1.25,-1.25,-1.65,-2.5,0.1,3.8,6.75,-0.05,7.384,,16.724,24.524,16.116,11.954,15.734,21.246,21.809,
20220202,6.2,10.1,0.2,-2.15,-0.9,-2.85,0.8,2.6,3.65,1.45,13.752,,8.964,24.54,16.124,11.416,26.382,20.62,11.733,
20220203,0.8,5.6,1.5,-2.05,-0.5,-3.9,4.7,2.6,-0.95,0.5,13.296,8.076,10.444,27.154,15.542,13.066,23.824,21.112,12.684,
20220204,1.4,-1,0.6,-0.95,3.7,-5.15,5.85,0.3,0.55,-1.35,16.104,12.658,11.005,28.938,16.53,14.148,,11.006,12.7085,19.218
20220205,2.05,-2.65,0.3,-0.5,6.25,-6.5,3.8,-0.75,1.3,-2.3,16.132,9.42,5.473,29.47,18.108,15.028,,10.752,12.443,19.7235
20220206,1.35,-0.65,1.2,-0.75,3.75,-7.25,5.55,-2.5,2.75,-2.2,17.516,7.422,5.679,31.688,18.12,15.838,,20.084,24.591,20.229
20220207,-0.95,2,1.7,-1.3,1.45,-7.5,5,-1.3,5.8,-1.45,17.892,6.912,11.585,32.56,18.052,15.926,,20.782,13.229,19.231
20220208,-4.85,2.7,-0.15,-0.4,1.2,-5.65,0.2,2,3.8,0.05,16.922,8.998,12.672,,17.32,14.482,27.352,11.3,12.609,19.7875
20220209,-5.05,1.35,-3.4,1.45,-0.25,-1.1,-1.7,0.4,0.35,1.15,16.932,17.416,8.232,,15.81,14.73,26.674,0.6,25.086,18.842
20220210,-2.5,0.65,-1.35,3,-2.85,1.85,-1.75,0.1,0.9,2.55,,14.26,9.222,,17.214,17.688,25.996,21.5,25.781,9.1355
20220211,-0.9,1.75,2.8,6.45,-3.45,-0.25,-1,4.1,4.2,3.1,,14.818,10.704,36.86,9.782,19.676,23.856,11.168,13.651,9.855
20220212,-0.8,3.05,2.15,10.75,-1.3,-2.75,-0.2,7.75,6.85,3.95,,15.54,11.255,37.926,0.1,22.02,20.858,13.162,1.15,10.5985
20220213,-0.5,2.6,0.1,12.65,0.4,-1.4,0.9,8.95,7.25,6.05,12.716,17.1505,11.819,38.4,14.652,22.384,17.574,13.508,,2.418
20220214,0.85,2.3,0.5,7.55,1.75,1.95,1.75,8.25,8.45,5.5,13.686,9.6285,14.592,37.808,14.658,22.728,16.264,16.138,,20.008
20220215,1.55,1.95,3.25,0.2,2.5,3.35,1.5,9.15,7.5,2.45,14.924,7.014,16.86,41.652,14.72,11.42,15.738,15.984,21.21,22.714
